大人のキス (1993) ,空に歌えば,0.9920798492560063
誰よりもママを愛す (2006) ,点描の唄,0.9985357174044193
ガリレオ Galileo (2007) ,Walking with you,0.9902351943835457
まんてん 満天 (2002) ,ハレルヤ,0.9989795896928957
あんどーなつ (2008) ,Sing Out!,0.9966804808741134
超劇場版 ケロロ軍曹2 深海のプリンセスであります！ (2007) ,傘,0.9970278952388615
幸福(しあわせ)のスイッチ (2006) ,Closer - Tokyo Remix,0.994365021030829
鬼嫁日記 いい湯だな (2007) ,Baby,0.9944986999495454
将太の寿司 (1996) ,ハルノヒ,0.99733491434324
同窓会 (1993) ,トリコ,0.9974031166331838
レガッタ～君といた永遠 Regatta (2006) ,ボーイフレンド,0.9930368355284628
フレディVSジェイソン Freddy vs. Jason (2003) ,アゲイン,0.9968663164722313
3年B組金八先生 第2シリーズ (1980) ,真夏の夜の匂いがする,0.9964691037021323
ユモレスク 逆さまの蝶 (2006) ,Vinyl,0.997603554920064
お・ばんざい！ (2007) ,さらしもの (feat. PUNPEE),0.9897094424979637
夏目友人帳 (2008) ,たばこ,0.9958685492834172
87%－私の5年生存率－ (2005) ,優しいあの子,0.9973916315630742
すてきにコモン！ (2006) ,キュン,0.9945477923954141
ダイブ!! DIVE!! (2008) ,Hug,0.9804342505252202
スワンの馬鹿！～こづかい3万円の恋～ (2007) ,シンクロニシティ,0.9924450356769439
ビッグウイング Big Wing (2001) ,空の青さを知る人よ,0.9949301380952201
エクステ Exte (2007) ,すきにやる,0.9957426755385561
えいがでとーじょー！たまごっち ドキドキ！うちゅーのまいごっち！？ (2007) ,だから僕は音楽を辞めた,0.9953697726051343
整形美人。 (2002) ,カワキヲアメク,0.9980271197056506
交渉人～THE NEGOTIATIOR～ (2008) ,火炎,0.9975790174786732
アップタウン・ガールズ Uptown Girls (2003) ,PORSCHEでKISS,0.9983429078919792
ハービー/機械じかけのキューピッド Herbie: Fully Loaded (2005) ,別の人の彼女になったよ,0.9924697597526173
アルマゲドン Armageddon (1998) ,コイワズライ,0.9938026763393815
西遊記 (1993) ,令和,0.9957635250422278
ナニワ金融道6 (2005) ,憧憬と屍の道 [TV Size],0.9901188681375498
結婚の理想と現実 (1991) ,Take It Easy,0.9935809917669489
きみはペット (2003) ,#302,0.9939143567230945
ユモレスク 逆さまの蝶 (2006) ,願い,0.9983932868223684
地獄少女 (2006) ,そっけない,0.9957661370654242
踊る大捜査線 THE MOVIE 湾岸署史上最悪の3日間！ (1998) ,Blizzard,0.9954635273126957
バッシュメント Bashment (2005) ,今夜このまま,0.9980541061036189
ゲット スマート Get Smart (2008) ,Turning Up,0.995403446901275
メン・イン・ブラック Men in Black (1997) ,Paris,0.9939927256349396
NANA2 (2006) ,黒い羊,0.9660529353943436
劇場版 NARUTO-ナルト- 大活劇！雪姫忍法帖だってばよ！！ (2004) ,Let me Know,0.9867517418840818
スウとのんのん (2005) ,どろん,0.9947165342495293
トゥルーラブ True Love (2006) ,青と夏,0.997471598255473
はいからさんが通る (1987) ,韻波句徒,0.9959485734809722
ラブ★コン Lovely Complex (2006) ,小さな惑星,0.9978322955599491
ビルと動物園 (2008) ,あの頃のラブソングは捨てて,0.9951383088694226
アンドロメディア andromedia (1998) ,Picky,0.9957003389829988
ラスト・ブラッド Blood: The Last Vampire (2009) ,春を告げる,0.9962014535590005
ロト6で3億2千万円当てた男 (2008) ,202 feat. 泉まくら - New Mix,0.9932330428512246
キスより簡単 (1987) ,黄昏サラウンド,0.9974375894448115
すずがくれた音 (2004) ,Stand By You,0.9983619687019236
子供が寝たあとで (1992) ,by her feat. 茂千代,0.9921141117129193
神様、もう少しだけ (1998) ,偽愛,0.9978491270523298
恋は負けない Loser (2000) ,Easy Breezy,0.9874412171811293
山田太郎ものがたり (2007) ,夕暮れに映して,0.9963463534803754
007/リビング・デイライツ The Living Daylights (1987) ,HIP,0.9937348929830649
