"Wait 'Til the Sun Shines, Nellie (1952) ",
Way of a Gaucho (1952) ,
栄光何するものぞ What Price Glory (1952) ,
わが心に歌えば With a Song in My Heart (1952) ,
Call Me Mister (1951) ,
愛欲の十字路 David and Bathsheba (1951) ,
Fourteen Hours (1951) ,
The Guest (1951) ,
Half Angel (1951) ,
南仏夜話・夫（ハズ）は僞者 On the Riviera (1951) ,
うわさの名医 (ピープル・ウィル・トーク) People Will Talk (1951) ,
Take Care of My Little Girl (1951) ,
イヴの総て All About Eve (1950) ,
大空輸 The Big Lift (1950) ,
For Heaven's Sake (1950) ,
拳銃王 The Gunfighter (1950) ,
復讐鬼 No Way Out (1950) ,
暗黒の恐怖 Panic in the Streets (1950) ,
Two Flags West (1950) ,
When Willie Comes Marching Home (1950) ,
星は輝く Come to the Stable (1949) ,
海の男 Down to the Sea in Ships (1949) ,
私も貴方も Everybody Does It (1949) ,
三人の妻への手紙 A Letter to Three Wives (1949) ,
ママは大学一年生 Mother Is a Freshman (1949) ,
我輩は新入生 Mr. Belvedere Goes to College (1949) ,
Pinky (1949) ,
狐の王子 Prince of Foxes (1949) ,
深夜復讐便 Thieves' Highway (1949) ,
頭上の敵機 Twelve O'Clock High (1949) ,
Under My Skin (1949) ,
出獄 Call Northside 777 (1948) ,
日曜は鶏料理 Chicken Every Sunday (1948) ,
都会の叫び Cry of the City (1948) ,
アリゾナの決闘 Fury at Furnace Creek (1948) ,
鉄のカーテン The Iron Curtain (1948) ,
愉快な家族 Sitting Pretty (1948) ,
蛇の穴 The Snake Pit (1948) ,
That Lady in Ermine (1948) ,
That Wonderful Urge (1948) ,
殺人幻想曲 Unfaithfully Yours (1948) ,
The Walls of Jericho (1948) ,
When My Baby Smiles at Me (1948) ,
廃墟の群盗 Yellow Sky (1948) ,
征服への道 Captain from Castile (1947) ,
The Foxes of Harrow (1947) ,
紳士協定 Gentleman's Agreement (1947) ,
The Homestretch (1947) ,
I Wonder Who's Kissing Her Now (1947) ,
ボストン物語 The Late George Apley (1947) ,
Mother Wore Tights (1947) ,
The Shocking Miss Pilgrim (1947) ,
Centennial Summer (1946) ,
呪われた城 Dragonwyck (1946) ,
Margie (1946) ,
剃刀の刃 The Razor's Edge (1946) ,
Three Little Girls in Blue (1946) ,
A Bell for Adano (1945) ,
哀愁の湖 Leave Her to Heaven (1945) ,
A Royal Scandal (1945) ,
ステート・フェア State Fair (1945) ,
ブルックリン横丁 A Tree Grows in Brooklyn (1945) ,
The Fighting Lady (1944) ,
Irish Eyes Are Smiling (1944) ,
王国の鍵 The Keys of the Kingdom (1944) ,
The Purple Heart (1944) ,
The Sullivans (1944) ,
Sunday Dinner for a Soldier (1944) ,
Wilson (1944) ,
Claudia (1943) ,
Coney Island (1943) ,
真珠湾攻撃 December 7th (1943) ,
The Gang's All Here (1943) ,
天国は待ってくれる Heaven Can Wait (1943) ,
The Moon Is Down (1943) ,
マイ・フレンド・フリッカ 緑園の名馬 My Friend Flicka (1943) ,
聖処女 The Song of Bernadette (1943) ,
氷上の花 Wintertime (1943) ,
ミッドウェイ海戦 The Battle of Midway (1942) ,
海の征服者 The Black Swan (1942) ,
China Girl (1942) ,
Girl Trouble (1942) ,
Life Begins at Eight-Thirty (1942) ,
Orchestra Wives (1942) ,
The Pied Piper (1942) ,
Prelude to War (1942) ,
Rings on Her Fingers (1942) ,
Roxie Hart (1942) ,
激闘 Son of Fury (1942) ,
Song of the Islands (1942) ,
ロッキーの春風 Springtime in the Rockies (1942) ,
Ten Gentlemen from West Point (1942) ,
純愛の誓い This Above All (1942) ,
To the Shores of Tripoli (1942) ,
教授と美女 Ball of Fire (1941) ,
Belle Starr (1941) ,
血と砂 Blood and Sand (1941) ,
Charley's Aunt (1941) ,
The Great American Broadcast (1941) ,
わが谷は緑なりき How Green Was My Valley (1941) ,
マン・ハント Man Hunt (1941) ,
Moon Over Miami (1941) ,
追憶 Remember the Day (1941) ,
That Night in Rio (1941) ,
Weekend in Havana (1941) ,
Wild Geese Calling (1941) ,
A Yank in the RAF (1941) ,
The Blue Bird (1940) ,
Brigham Young - Frontiersman (1940) ,
Earthbound (1940) ,
海外特派員 Foreign Correspondent (1940) ,
怒りの葡萄 The Grapes of Wrath (1940) ,
Hudson's Bay (1940) ,
Lillian Russell (1940) ,
大紐育 Little Old New York (1940) ,
快傑ゾロ The Mark of Zorro (1940) ,
Maryland (1940) ,
They Knew What They Wanted (1940) ,
Tin Pan Alley (1940) ,
病院の一夜 Vigil in the Night (1940) ,
西部の男 The Westerner (1940) ,
Young People (1940) ,
Barricade (1939) ,
ボー・ジェスト Beau Geste (1939) ,
Drums Along the Mohawk (1939) ,
ガンガ・ディン Gunga Din (1939) ,
ノートルダムの傴僂男 The Hunchback of Notre Dame (1939) ,
雨ぞ降る The Rains Came (1939) ,
暁の討伐隊 The Real Glory (1939) ,
Stanley and Livingstone (1939) ,
The Star Maker (1939) ,
彼等に音楽を They Shall Have Music (1939) ,
嵐ケ丘 Wuthering Heights (1939) ,
若き日のリンカン Young Mr. Lincoln (1939) ,
