バットマン・フォーエヴァー Batman Forever (1995) ,"Hold Me, Thrill Me, Kiss Me, Kill Me","Hold Me, Thrill Me, Kiss Me, Kill Me (From ""Batman Forever"")",Halloween Music Sessions,Halloween & Musica de Terror Specialists,2021-10-28,294480,0,8,1,0.409,0.00167,0.689,0.00256,0.134,-10.621,0.0336,172.1,4,0.32
インタビュー・ウィズ・ヴァンパイア Interview with the Vampire (1994) ,Sympathy For The Devil,Sympathy For The Devil,The Rolling Stones Singles Collection: The London Years,The Rolling Stones,1989-08-15,376800,63,9,1,0.728,0.61,0.681,0,0.0559,-10.943,0.221,115.944,4,0.578
ペット・セメタリー Pet Sematary (1989) ,Pet Sematary,Pet Sematary,Brain Drain,Ramones,1989,210333,58,2,0,0.468,0.00159,0.825,0.000169,0.143,-12.853,0.0365,148.295,4,0.661
ワイルド・ワイルド・ウエスト Wild Wild West (1999) ,Wild Wild West,Wild Wild West (feat. Dru Hill & Kool Mo Dee) - Album Version With Intro,Willennium,Will Smith,1999-11-16,268453,56,10,0,0.861,0.0983,0.597,0,0.176,-7.221,0.162,107.016,4,0.694
ゴーストバスターズ Ghostbusters (1984) ,Ghostbusters,Ghostbusters,Greatest Hits,Ray Parker Jr.,1993-10-12,239133,77,4,1,0.778,0.0123,0.719,0.0262,0.297,-9.698,0.0345,115.4,4,0.729
007/ゴールデンアイ GoldenEye (1995) ,GoldenEye,GoldenEye,GoldenEye,Derek Pope,2017-08-10,200000,20,5,0,0.761,0.194,0.545,2.1e-05,0.0941,-5.635,0.0322,120.032,4,0.289
天使の涙 堕落天使 Fallen Angels (1995) ,Only You,Only You (feat. The Notorious B.I.G. & Mase) - Bad Boy Remix,112,112,1996-08-27,289413,64,8,1,0.764,0.0296,0.525,0,0.0993,-5.969,0.048,95.813,4,0.787
ネバーエンディング・ストーリー The NeverEnding Story (Die Unendliche Geschichte) (1984) ,The Never Ending Story,The Never Ending Story,Better Ash Than Dust,Stick To Your Guns,2016-09-23,205574,27,2,1,0.286,2.04e-05,0.964,2.03e-05,0.312,-4.183,0.159,151.405,4,0.423
007/死ぬのは奴らだ Live and Let Die (1973) ,Live &amp; Let Die,The Never Ending Story,Better Ash Than Dust,Stick To Your Guns,2016-09-23,205574,27,2,1,0.286,2.04e-05,0.964,2.03e-05,0.312,-4.183,0.159,151.405,4,0.423
ライオン・キング The Lion King (1994) ,Circle Of Life,Circle Of Life,Love Songs,Elton John,1995-11-06,290093,51,10,1,0.276,0.283,0.607,0.44,0.107,-8.089,0.0369,160.45,4,0.157
ブラック・レイン Black Rain (1989) ,I'll Be Holding On,I'll Be Holding On,Doro,Doro,1990-01-01,325293,20,0,0,0.515,0.0674,0.403,1.65e-05,0.0915,-9.881,0.0306,120.837,4,0.186
