007/黄金銃を持つ男 The Man with the Golden Gun (1974) ,The Man With The Golden Gun(黄金銃を持つ男),Lulu(ルル)
007/ダイヤモンドは永遠に Diamonds Are Forever (1971) ,Diamonds Are Forever(ダイアモンドは永遠に),Shirley Bassey(シャーリー・パッシー)
007/007は二度死ぬ You Only Live Twice (1967) ,You Only Live Twice(007は二度死ぬ),Nancy Sinatra(ナンシー・シナトラ)
007/サンダーボール作戦 Thunderball (1965) ,Thunderball(サンダーボール),Tom Jones(トム・ジョーンズ)
007/ゴールドフィンガー Goldfinger (1964) ,Goldfinger(ゴールドフィンガー),Shirley Bassey(シャーリー・バッシー)
007/ロシアより愛をこめて From Russia with Love (1963) ,From Russia With Love(ロシアより愛をこめて),Matt Monro(マット・モンロー)
007/ドクター・ノオ (007は殺しの番号) Dr. No (1962) ,James Bond Theme(ジェームズ・ボンド・テーマ),
もののけ姫 Princess Mononoke (1997) ,もののけ姫,米良美一
紅の豚 Porco Rosso (1992) ,さくらんぼの実る頃,加藤登紀子
風の谷のナウシカ Nausicaa of Valley of Wind (1984) ,風の谷のナウシカ,安田成美
あの夏、いちばん静かな海 A Scene at the Sea (1992) ,Silent Love(Main Theme), 
ふたり (1991) ,草の想い～ふたり・愛のテーマ～,大林宣彦監督(作詞・唄)、久石譲(作曲・唄) 
漂流教室 (1987) ,野性の風,今井美樹
Wの悲劇 (1984) ,"Woman ""Wの悲劇""より",薬師丸ひろ子
恋する人魚たち Mermaids (1990) ,Shoop Shoop Song (It's in His Kiss),Cher(シェール)
スタンド・バイ・ミー Stand by Me (1986) ,Stand By Me(スタンド・バイ・ミー),Ben E. King(ベン・E・キング)
愛と青春の旅だち An Officer and a Gentleman (1982) ,Up Where We Belong(愛と青春の旅立ち),Joe Cocker &amp; Jennifer Warnes(ジョー・コッカー&amp;ジェニファー・ウォーンズ)
MASTERキートン(マスターキートン) MASTER KEATON (1998) ,eternal wind,Blue
ガメラ3/邪神覚醒 Gamera 3: Revenge of Iris (1999) ,もういちど教えてほしい,ユリアーナ・シャノー(歌)、金子修介(作詞)、大谷幸(作曲)
ガメラ2/レギオン襲来 Gamera 2: Assault of the Legion (1996) ,そら,ウルフルズ
ガメラ/大怪獣空中決戦 Gamera: Guardian of the Universe (1995) ,神話,爆風スランプ
スピード Speed (1994) ,Speed(スピード),Billy Idol(ビリー・アイドル)
007/私を愛したスパイ The Spy Who Loved Me (1977) ,Nobody Does It Better(私を愛したスパイ),Carly Simon(カーリー・サイモン)
ゴースト/ニューヨークの幻 Ghost (1990) ,Unchained Melody(アンチェインド・メロディ),The Righteous Brothers(ライチャス・ブラザーズ)
007/消されたライセンス Licence to Kill (1989) ,License To Kill(消されたライセンス),Gladys Knight(グラディス・ナイト)
モナリザ Mona Lisa (1986) ,Mona Lisa(モナリザ),Nat King Cole(ナット・キング・コール)
華麗なる賭け The Thomas Crown Affair (1968) ,The Windmills of Your Mind(風のささやき),Noel Harrison(ノエル・ハリソン) … アカデミー賞の主題歌賞を受賞。作曲は音楽担当のミシェル・ルグラン。サントラ1曲目に収録。
X-ファイル The X-Files (1993) ,LOVE PHANTOM,B'z
カリートの道 Carlito's Way (1993) ,You Are So Beautiful(ユー・アー・ソー・ビューティフル),Joe Cocker(ジョー・コッカー) … アルバム「
ふたり (1997) ,夢じゃない,スピッツ
"戦場のメリークリスマス Merry Christmas, Mr. Lawrence (1983) ","Merry Christmas, Mr. Lawrence(メリー・クリスマス・Mr.ローレンス)",
妹の恋人 Benny & Joon (1993) ,I'm Gonna Be (500 Miles),The Proclaimers(プロクレイマーズ) … サントラや彼らのアルバムや、『
アルマゲドン Armageddon (1998) ,I Don't Want to Miss a Thing(ミス・ア・シング),Aerosmith(エアロスミス)
フェノミナン Phenomenon (1996) ,Change The World(チェンジ・ザ・ワールド),Eric Clapton(エリック・クラプトン)
アンカーウーマン Up Close and Personal (1996) ,Because You Loved Me(ビコーズ・ユー・ラヴド・ミー),Celine Dion(セリーヌ・ディオン) … 第69回アカデミー賞で、主題歌賞にノミネート。
ジャンピン・ジャック・フラッシュ Jumpin' Jack Flash (1986) ,Jumpin' Jack Flash,The Rolling Stones(ザ・ローリング・ストーンズ) … アルバム「
